,Unnamed: 0,Company,CPU Detail,CPU Manufacturer,CPU Generation,CPU Arc,Core,Cache,RAM,HDD,SSD,Graphic-creator,Graphic RAM,Blore screen,Keyboard light,Battery houre,Battery Cells,Battery Capacity,Size per Inch/,Touch screen,amount
697,740,,Core i5,Intel,12.0,x86,12.0,18.0,32.0,,1000.0,NVIDIA,4.0,,1.0,,4.0,90.0,,,45.479
698,741,,Core i9,Intel,12.0,x86,,30.0,32.0,,1000.0,,16.0,,1.0,,,99.9,17.3,,178.1
699,743,,Core i9,Intel,13.0,x86,,36.0,16.0,1000.0,,Nvidia,8.0,,1.0,,4.0,,,,123.26
700,744,,Ryzen 7-Zen 3,AMD,6.0,x86,8.0,16.0,16.0,,1000.0,NVIDIA,6.0,,1.0,,4.0,90.0,,,106.2
701,745,,Core i5-Tiger Lake,Intel,11.0,x86,6.0,12.0,8.0,,512.0,,4.0,,,,,48.0,15.6,,43.29
702,746,,Ryzen 7-Zen 3,AMD,5.0,x86,8.0,16.0,16.0,,1000.0,AMD,2.0,,,,3.0,50.0,,,35.179
703,747,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,1000.0,,NVIDIA,2.0,,,,3.0,45.0,,,31.699
704,748,,Core i9,Intel,13.0,x86,,36.0,64.0,1000.0,,Nvidia,8.0,,1.0,,4.0,,,,152.32
705,749,,Core i5-Alder Lake,Intel,12.0,x86,8.0,12.0,8.0,,1000.0,NVIDIA,4.0,,1.0,,4.0,76.0,,,45.99
706,750,HP,Ryzen 5,AMD,2.0,x86,,6.0,16.0,1000.0,256.0,AMD,1.0,1.0,1.0,,,50.0,14.0,,16.5
707,751,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,12.0,1000.0,128.0,NVIDIA,2.0,,,,2.0,38.0,,,28.9
708,752,,Core i3,Intel,11.0,x86,2.0,6.0,12.0,1000.0,256.0,UHD,6.0,1.0,,,2.0,36.0,15.6,,21.8
709,754,,Core i5-Tiger Lake,Intel,11.0,x86,7.0,8.0,8.0,,1000.0,,2.0,,,,,70.0,15.6,,25.2
710,755,,Core i3 Comet Lake,Intel,10.0,x86,4.0,4.0,4.0,1000.0,,Intel,2.0,,,,2.0,37.0,,,17.0
711,756,,Core i3,Intel,11.0,x86,2.0,6.0,12.0,1000.0,256.0,INTEL,,1.0,,2.0,2.0,38.0,15.6,,21.481
712,757,,Core i7,Intel,12.0,x86,10.0,12.0,8.0,,256.0,,,,,16.0,,47.7,,,68.3
713,758,Lenovo,,Intel,,,7.0,,8.0,,,Intel,,,,15.0,,,14.0,,9.5
714,759,,Core i7-Alder Lake,Intel,12.0,x86,6.0,24.0,16.0,,1000.0,,4.0,,,,,53.5,17.3,,59.99
715,760,Acer,,Intel,,,7.0,,16.0,512.0,512.0,NVIDIA,6.0,,,8.0,,,15.6,,59.9
716,761,,Ryzen 9,AMD,7.0,x86,,16.0,64.0,,4000.0,,12.0,,1.0,,,90.0,16.0,,272.9
717,762,ASUS,Core i3,Intel,12.0,x86,6.0,10.0,,,512.0,,2.0,,,,,,15.6,,24.469
718,763,,Core i3,Intel,10.0,x86,2.0,4.0,12.0,1000.0,128.0,INTEL,,1.0,,3.0,2.0,35.0,15.6,,20.381
719,764,,Ryzen 5-Zen 3,AMD,5.0,x86,6.0,16.0,8.0,,512.0,AMD,2.0,,1.0,,3.0,63.0,,,48.279
720,766,ASUS,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,,512.0,,,,1.0,2.0,,,15.6,,30.499
721,767,,Core i9,intell,12.0,x86,,24.0,32.0,,1000.0,,16.0,,1.0,,,,17.3,,311.6
722,768,,Core i7,Intel,8.0,x86,,6.0,,1000.0,,NVIDIA,2.0,1.0,,,,,15.6,,22.99
723,770,,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,32.0,,1000.0,NVIDIA,8.0,,1.0,,4.0,90.0,,,92.5
724,771,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,0.0,256.0,,4.0,,,,,45.0,15.6,,35.47
725,773,,Core i9,intel,13.0,x86,,36.0,16.0,,512.0,,8.0,,1.0,,6.0,83.0,16.0,,79.3
726,774,,Core i9,intel,12.0,x86,14.0,24.0,32.0,,2000.0,NVIDIA,16.0,1.0,,2.0,4.0,90.0,15.6,,143.999
727,775,,Core i7,intel,11.0,x86,4.0,12.0,8.0,1000.0,512.0,NVIDIA,2.0,1.0,,2.0,2.0,38.0,15.6,,30.89
728,776,,Ryzen 7-Zen 3,AMD,6.0,x86,8.0,16.0,16.0,,512.0,,,1.0,1.0,3.0,,,15.6,,58.481
729,777,,Core i7-Alder Lake,Intel,12.0,x86,14.0,24.0,16.0,,512.0,,4.0,,,,,52.0,15.6,,54.9
730,778,,Core i7,Intel,13.0,x86,,36.0,32.0,,1000.0,,16.0,,1.0,,6.0,80.0,16.0,,180.4
731,779,,Ryzen 7,AMD,5.0,x86,8.0,16.0,32.0,,1000.0,NVIDIA,6.0,1.0,,3.0,4.0,80.0,,,64.76
732,780,lenovo,Ryzen 3,AMD,7.0,x86,4.0,4.0,4.0,,512.0,,,1.0,,2.0,,,15.6,,17.0
733,781,,Core i3,Intel,10.0,x86,2.0,4.0,12.0,1000.0,256.0,INTEL,,1.0,,3.0,2.0,37.0,15.6,,19.5
734,782,,Core i7,Intel,11.0,x86,8.0,24.0,16.0,,1000.0,Nvidia,8.0,1.0,1.0,,,80.0,15.6,,107.0
735,783,,Core i7-Comet Lake,Intel,10.0,x86,6.0,12.0,16.0,1000.0,512.0,,6.0,,,,,60.0,15.6,,61.7
736,784,,Ryzen 5,AMD,5.0,x86,,8.0,8.0,,512.0,Nvidia,4.0,1.0,1.0,,,48.0,15.6,,28.5
737,785,,Core i7,Intel,10.0,x86,,8.0,32.0,,1000.0,NVIDIA,4.0,,1.0,5.0,,,15.6,,63.0
738,786,,,Intel,,x86,2.0,,2.0,250.0,,Intel,,,,,,,15.6,,4.5
739,787,,Core i9,Intel,13.0,x86,,36.0,16.0,,512.0,,8.0,,1.0,,6.0,80.0,16.0,,87.4
740,788,,Core i5,Intel,9.0,x86,4.0,8.0,8.0,1000.0,256.0,NVIDIA,4.0,1.0,,2.0,3.0,42.0,15.6,,34.65
741,789,,Core i5,Intel,8.0,x86,,6.0,8.0,,256.0,,4.0,,1.0,,,,14.0,,11.0
742,790,,Ryzen 5-Zen 3,AMD,6.0,x86,6.0,16.0,16.0,,512.0,,,1.0,1.0,3.0,,,15.6,,56.481
743,791,,Core i9,Intel,13.0,x86,,36.0,16.0,1000.0,,Nvidia,8.0,,1.0,,6.0,,,,82.66
744,792,,Core i7,Apple,,,,,16.0,,512.0,Intel,1.5,,,,,,,,27.5
745,793,ASUS,Core i9-Alder Lake,Intel,12.0,x86,14.0,24.0,32.0,,1000.0,NVIDIA,8.0,,1.0,4.5,,90.0,17.3,,113.0
746,794,,Core i7,,9.0,x86,,12.0,16.0,,512.0,NVIDIA,6.0,1.0,1.0,,,57.0,15.6,,31.9
747,795,,Core i5-Alder Lake,Intel,12.0,x86,12.0,18.0,8.0,,512.0,NVIDIA,4.0,,1.0,,4.0,90.0,,,39.899
748,796,,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,16.0,,2000.0,NVIDIA,4.0,,1.0,,4.0,56.0,,,54.2
749,797,OMEN,,Intel,,,7.0,,16.0,512.0,,NVIDIA,8.0,,,6.26,,,15.6,,45.8
750,798,,Core i7,Intel,10.0,x86,4.0,12.0,16.0,,512.0,NVIDIA,2.0,1.0,,3.0,2.0,37.0,15.6,,30.69
751,799,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,1000.0,128.0,NVIDIA,2.0,,,,2.0,38.0,,,24.07
752,800,,Core i7,,6.0,x86,,4.0,32.0,,480.0,Intel,,,1.0,,9.0,97.0,14.0,,139.0
753,801,,Core i5,Intel,11.0,x86,6.0,12.0,16.0,,,NVIDIA,4.0,1.0,1.0,,,,15.6,,44.9
754,802,,Core i5,Intel,11.0,x86,,12.0,16.0,,512.0,Nvidia,4.0,1.0,1.0,,,,16.1,,36.1
755,803,,Core i5,Intel,8.0,x86,,,8.0,,256.0,,0.0,,,,,,,,14.0
756,805,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,12.0,,512.0,NVIDIA,2.0,,,,2.0,37.0,,,25.979
757,806,,Core i7,Intel,12.0,x86,14.0,24.0,16.0,,512.0,NVIDIA,4.0,1.0,1.0,,,,15.6,,53.5
758,807,,Core i7,,10.0,x86,6.0,12.0,16.0,256.0,,,,,,,,,,,54.989
759,808,Apple,M2,Apple,,M2,12.0,,32.0,,1000.0,,,,,17.0,,70.0,,,159.0
760,809,,Core i5,,11.0,x86,6.0,12.0,16.0,,512.0,NVIDIA,4.0,1.0,,2.0,3.0,48.0,15.6,,36.49
761,810,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,16.0,1000.0,256.0,,4.0,,,,,45.0,15.6,,36.0
762,811,,Core i9,Intel,13.0,x86,,24.0,32.0,1000.0,,Nvidia,8.0,,1.0,10.0,,,,,118.15
763,812,,Core i5,Intel,10.0,x86,4.0,6.0,8.0,256.0,,,,,,11.5,,45.8,15.0,,41.5
764,816,,Core i7,Intel,,x86,14.0,24.0,32.0,,1000.0,NVIDIA,,,,3.0,4.0,80.0,,,83.0
765,817,,Core i9,Intel,13.0,x86,,36.0,16.0,,1000.0,,8.0,,1.0,,6.0,80.0,15.6,,104.2
766,818,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,,512.0,NVIDIA,4.0,,1.0,,4.0,76.0,,,50.981
767,819,,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,32.0,,2000.0,NVIDIA,6.0,,1.0,,4.0,90.0,,,68.97
768,820,lenovo,Ryzen 5,AMD,5.0,x86,6.0,16.0,32.0,,2000.0,,,1.0,1.0,2.0,,,15.6,,46.681
769,821,,Core i9-Raptor Lake,Intel,13.0,x86,24.0,36.0,32.0,,1000.0,NVIDIA,16.0,,1.0,,4.0,90.0,,,205.5
770,822,,Ryzen 5-Zen 2,AMD,5.0,x86,6.0,8.0,12.0,1000.0,256.0,AMD,2.0,,,,2.0,38.0,,,21.579
771,823,,Core i7,Intel,11.0,x86,,,8.0,,512.0,,,,,,,,14.0,,35.0
772,824,,Core i7,Intel,11.0,x86,4.0,12.0,8.0,1000.0,256.0,NVIDIA,2.0,1.0,,2.0,2.0,38.0,15.6,,28.499
773,825,ASUS,Ryzen 5,AMD,5.0,x86,6.0,19.0,8.0,,1000.0,AMD,,,1.0,5.0,,70.0,14.0,,27.999
774,826,,Ryzen 7,AMD,,x86,6.0,16.0,32.0,,1000.0,NVIDIA,,,,3.0,4.0,80.0,,,59.636
775,827,,Ryzen 9,AMD,5.0,x86,,16.0,32.0,,1000.0,Nvidia,8.0,1.0,1.0,,6.0,86.0,15.6,,68.5
776,828,,Core i7,Intel,11.0,x86,8.0,24.0,32.0,,1000.0,NVIDIA,,,1.0,,,80.0,17.3,,69.3
777,829,,Core i9,Intel,13.0,x86,,24.0,16.0,,512.0,,8.0,,1.0,,,90.0,15.6,,87.6
778,830,,Core i3,Intel,11.0,x86,2.0,6.0,12.0,1000.0,256.0,NVIDIA,2.0,1.0,,,2.0,36.0,15.6,,20.99
779,831,,Core i7-Alder Lake,Intel,12.0,x86,10.0,12.0,16.0,,1000.0,Intel,8.0,,,,3.0,42.0,,,32.5
780,833,,Core i7-Alder Lake,Intel,12.0,x86,10.0,12.0,16.0,,512.0,NVIDIA,2.0,,,,4.0,57.0,,,47.68
781,834,ASUS,Core i7,,12.0,x86,12.0,18.0,16.0,,1000.0,,,,1.0,5.0,,,14.0,,73.399
782,835,,Ryzen 7,,5.0,x86,8.0,16.0,16.0,,512.0,NVIDIA,4.0,1.0,,,4.0,57.0,15.6,,43.599
783,836,,,AMD,10.0,x86,,,16.0,,512.0,Nvidia,6.0,1.0,1.0,,,,14.0,,58.5
784,837,ASUS,Core i5,intel,12.0,x86,12.0,18.0,8.0,,1000.0,Intel,,,1.0,,,70.0,15.6,,32.7
785,838,,Ryzen 7,AMD,5.0,x86,,16.0,16.0,,512.0,NVIDIA,6.0,,,,4.0,71.0,15.6,,58.0
786,840,12700H,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,32.0,,1000.0,NVIDIA,4.0,,1.0,,4.0,56.0,,,65.549
787,841,,Core i9,Intel,13.0,x86,,36.0,16.0,,1000.0,,8.0,,1.0,,,90.0,16.0,,105.7
788,842,,Core i7,Intel,11.0,x86,,12.0,16.0,1000.0,256.0,NVIDIA,2.0,,,,,37.0,15.6,,34.85
789,843,,Core i7,Intel,12.0,x86,10.0,24.0,16.0,,2000.0,NVIDIA,8.0,1.0,,3.0,4.0,76.0,15.6,,71.082
790,844,,Core i3,Intel,11.0,x86,2.0,6.0,4.0,256.0,1000.0,Intel,2.0,,,,,38.0,15.6,,18.8
791,845,,Core i9,Intel,13.0,x86,,36.0,32.0,,1000.0,,16.0,,1.0,,,90.0,18.0,,236.9
792,847,,Core i5,Intel,11.0,x86,,,16.0,,512.0,,4.0,,,,,,16.0,,37.0
793,848,,Ryzen 9,AMD,7.0,x86,,16.0,16.0,512.0,,Nvidia,8.0,,1.0,,,,,,74.36
794,849,,Core i5,Intel,11.0,x86,4.0,8.0,8.0,,512.0,Nvidia,2.0,1.0,,,,41.0,15.6,,32.66
795,850,Ideapad 3,Core i3,Intel,11.0,x86,2.0,6.0,12.0,,512.0,Intel,2.0,,,1.5,,35.0,15.6,,19.299
796,851,ASUS,Core i7,Intel,11.0,x86,4.0,12.0,16.0,,512.0,,,,1.0,2.0,,,14.0,,46.056
797,852,Apple,M1,Apple,,M1,,24.0,16.0,,1000.0,Apple,,,1.0,,,100.0,16.2,,101.0
798,853,,Core i9,Intel,13.0,x86,,24.0,32.0,1000.0,,Nvidia,4.0,,1.0,10.0,,,,,83.84
799,854,,Core i7,Intel,,x86,,,16.0,,512.0,NVidia,,,,,,,15.6,,19.2
800,855,,Core i7,Intel,,,,12.0,16.0,1000.0,512.0,NVIDIA,2.0,,,,,,15.6,,42.5
801,856,,Core i7,Intel,11.0,x86,4.0,12.0,16.0,,512.0,Nvidia,,,1.0,19.0,,58.0,14.4,,102.289
802,857,,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,16.0,,2000.0,NVIDIA,8.0,,1.0,,4.0,90.0,,,78.781
803,858,,Core i7,Intel,13.0,x86,,18.0,16.0,512.0,,Intel,,,1.0,15.0,,65.0,,,57.41
804,859,,Core i7-Alder Lake,Intel,12.0,x86,6.0,24.0,16.0,,512.0,,4.0,,,,,53.5,17.3,,60.0
805,860,,Core i5,Intel,10.0,x86,4.0,6.0,8.0,,256.0,Intel,,,1.0,11.0,,45.0,13.5,,31.0
806,861,,Core i7,Intel,12.0,x86,10.0,24.0,32.0,,1000.0,NVIDIA,4.0,1.0,,3.0,4.0,76.0,15.6,,56.514
807,862,,Ryzen 9,AMD,5.0,x86,8.0,16.0,16.0,,1000.0,NVIDIA,8.0,1.0,1.0,,,,15.6,,75.79
808,863,,Core i9,Intel,13.0,x86,,36.0,32.0,,1000.0,,12.0,,1.0,,,95.2,16.0,,246.4
809,864,,Core i7,Intel,12.0,x86,,24.0,16.0,,512.0,,4.0,,1.0,,3.0,76.0,15.6,,64.2
810,865,,Ryzen 7,AMD,4.0,x86,,,8.0,,256.0,,,,,,,,15.0,,52.995
811,866,,Core i7,Intel,13.0,x86,,24.0,16.0,,512.0,,8.0,,1.0,,,90.0,15.6,,92.6
812,867,lenovo,Core i5,Intel,10.0,x86,4.0,6.0,20.0,1000.0,256.0,,,1.0,,2.0,,,15.6,,26.306
813,868,,Core i3,Intel,11.0,x86,2.0,6.0,4.0,,256.0,,2.0,1.0,,3.0,2.0,37.0,,,17.199
814,869,,Core i9,Intel,13.0,x86,,36.0,32.0,1000.0,,Nvidia,12.0,,1.0,,4.0,,,,179.7
815,870,,Core i9,Intel,12.0,x86,14.0,24.0,32.0,,2000.0,NVIDIA,8.0,1.0,,,4.0,80.0,16.0,,118.0
816,871,Apple,core 10,Intel,,M1,,,16.0,,512.0,Apple,0.0,,1.0,,,70.0,16.2,,106.0
817,872,,Core i9,Intel,13.0,x86,,36.0,32.0,1000.0,,Nvidia,12.0,,1.0,,,140.0,,,155.1
818,873,,Celeron,Intel,,N4020,,4.0,4.0,,128.0,intel,2.0,1.0,,3.0,,42.0,14.0,,12.966
819,874,,Core i7,Intel,12.0,x86,,18.0,16.0,512.0,,Nvidia,4.0,,1.0,12.0,,,,,62.36
820,875,,Core i5,Intel,,x86,12.0,18.0,16.0,,512.0,NVIDIA,,,,2.0,4.0,57.0,,,50.181
821,877,,Core i7,Intel,6.0,x86,,,16.0,,512.0,NVIDIA,2.0,1.0,,,,91.0,15.6,,17.4
822,878,ASUS,Ryzen 9,AMD,,x86,8.0,16.0,16.0,,,AMD,,,,,4.0,76.0,,,67.0
823,879,,Ryzen 7,AMD,5.0,x86,3.0,12.0,8.0,,512.0,,4.0,,,,,57.5,,,43.2
824,880,,Celeron,Intel,,x86,2.0,4.0,8.0,1000.0,256.0,INTEL,,1.0,,3.0,3.0,45.0,15.6,,16.0
825,881,,Core i5,Intel,11.0,x86,,8.0,16.0,,512.0,Intel,,,1.0,,,58.0,14.4,,85.0
826,882,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,12.0,,512.0,NVIDIA,2.0,,1.0,,2.0,37.0,,,29.97
827,883,ASUS,Core i3,Intel,11.0,x86,,6.0,8.0,1000.0,128.0,Intel,0.0,,,,,37.0,15.6,,20.6
828,885,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,8.0,1000.0,128.0,NVIDIA,2.0,,,,2.0,38.0,,,27.5
829,886,Dell,Core i7-Tiger Lake,Intel,6.0,x86,,,8.0,,256.0,intel,4.0,,,,,,,,13.3
830,887,Acer,Core i3,,12.0,x86,6.0,10.0,12.0,,512.0,,,1.0,,2.0,,,15.6,,21.599
831,889,HP,Core i5-Alder Lake,Intel,12.0,x86,10.0,12.0,8.0,,1000.0,,,,1.0,2.0,,,15.6,,41.9
832,890,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,1000.0,256.0,NVIDIA,2.0,,1.0,,2.0,37.0,,,31.97
833,891,,Core i7-Raptor Lake,Intel,13.0,x86,10.0,24.0,16.0,,1000.0,NVIDIA,6.0,,1.0,,4.0,60.0,,,58.9
834,892,ASUS,Ryzen 5,AMD,5.0,x86,6.0,16.0,,,512.0,,2.0,,,,,50.0,16.0,,28.472
835,893,,Ryzen 5,AMD,5.0,x86,,16.0,8.0,,1000.0,Nvidia,4.0,,,,,52.5,15.6,,27.65
836,894,,Core i7,Intel,11.0,x86,,12.0,32.0,,1000.0,intel,,1.0,,4.0,,63.0,14.0,,62.989
837,898,,Core i7,Intel,12.0,x86,14.0,24.0,16.0,,1000.0,Nvidia,,,1.0,,,90.0,17.3,,79.696
838,899,,Core i9,Intel,13.0,x86,,36.0,32.0,,1000.0,,16.0,,1.0,,,90.0,16.0,,200.0
839,900,,Core i5,Intel,11.0,x86,4.0,8.0,8.0,,512.0,intel,4.0,,,5.0,3.0,52.5,14.0,,36.79
840,901,,Ryzen 7,AMD,3.0,x86,,,8.0,,512.0,RX Vega 10,,1.0,,,3.0,,15.6,,34.8
841,903,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,,1000.0,,8.0,,,,,76.0,15.6,,62.28
842,904,,Core i7,Intel,8.0,x86,,8.0,16.0,,256.0,Nvidia,6.0,,,,,,15.0,,41.0
843,905,,Ryzen 7-Zen 3,AMD,5.0,x86,8.0,16.0,16.0,,512.0,NVIDIA,4.0,,1.0,,3.0,63.0,,,45.899
844,906,,Core i7,Intel,6.0,x86,,,16.0,,512.0,Intel,0.0,,,13.5,,,,,23.0
845,907,ASUS,Core i5,Intel,11.0,x86,4.0,8.0,8.0,,512.0,Intel,,,1.0,,,37.0,15.6,,23.432
846,908,,Core i3,Intel,11.0,x86,2.0,6.0,8.0,1000.0,256.0,INTEL,,1.0,,2.0,2.0,38.0,15.6,,18.69
847,909,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,,512.0,,2.0,,,,,63.0,14.0,,61.499
848,910,ASUS,Core i7,Intel,12.0,x86,14.0,24.0,16.0,,1000.0,Intel,,,1.0,,,96.0,15.6,,95.999
849,911,,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,32.0,,1000.0,NVIDIA,4.0,,1.0,,4.0,56.0,,,56.2
850,912,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,16.0,1000.0,256.0,NVIDIA,2.0,,,,2.0,38.0,,,25.1
851,913,,Core i7,Intel,12.0,x86,10.0,12.0,32.0,,1000.0,intel,,,,17.0,,,15.6,,131.112
852,914,,Ryzen 9,AMD,7.0,x86,,64.0,16.0,1000.0,,Nvidia,8.0,,1.0,,4.0,,,,94.96
853,915,,,,4.0,,5.0,3.0,4.0,,256.0,Intel HD,,,,,,,11.0,1.0,11.7
854,916,,Core i7,Intel,11.0,x86,4.0,12.0,40.0,,1000.0,NVIDIA,4.0,1.0,,3.0,4.0,76.0,15.6,,54.76
855,917,,Core i5,,,,,,16.0,,256.0,,,,,,,,13.0,,23.9
856,918,ASUS,Ryzen 9-Zen 3,AMD,6.0,x86,8.0,16.0,16.0,,1000.0,,,1.0,1.0,3.0,,,17.3,,75.199
857,919,,Core i5,Intel,8.0,x86,,3.0,8.0,,256.0,Intel,0.0,,,,,65.0,14.0,,12.6
858,920,,Core i7-Comet Lake,Intel,10.0,x86,6.0,12.0,16.0,,1000.0,,4.0,,,,,48.0,15.6,,43.799
859,921,lenovo,Core i5-Alder Lake,Intel,12.0,x86,10.0,12.0,8.0,,256.0,,,1.0,,3.0,,,15.6,,38.799
860,922,,Corei5,Intel,10.0,x86,4.0,8.0,24.0,,512.0,NVIDIA,4.0,1.0,,2.0,3.0,48.0,15.6,,36.7
861,923,,Core i7,,7.0,x86,,4.0,16.0,,512.0,Intel,0.0,,1.0,,,45.0,12.0,,133.82
862,924,,Core i7,Intel,8.0,x86,,8.0,16.0,,256.0,NVIDIA,6.0,,1.0,,,90.0,15.0,,38.37
863,925,,Ryzen 5,AMD,4.0,x86,,11.0,16.0,,512.0,NVIDIA,4.0,1.0,1.0,,3.0,56.0,15.6,,38.2
864,926,,Core i7,Intel,11.0,x86,8.0,24.0,64.0,,2000.0,NVIDIA,8.0,1.0,,3.0,4.0,60.0,15.6,,85.79
865,929,,Core i5,Intel,12.0,x86,,18.0,8.0,,256.0,NVIDIA,4.0,,,3.0,4.0,90.0,17.3,,38.991
866,930,,Celeron,Intel,,N4020,,4.0,8.0,,512.0,Intel,,,,,,,15.6,,14.2
867,931,ASUS,Core i3,Intel,11.0,x86,2.0,6.0,16.0,1000.0,256.0,,,,,2.0,,,15.6,,22.799
868,932,,Ryzen 5,AMD,4.0,x86,,8.0,8.0,1000.0,256.0,NVIDIA,4.0,1.0,1.0,5.0,,48.0,15.6,,31.0
869,933,,Ryzen 7,AMD,5.0,x86,8.0,20.0,8.0,,512.0,Nvidia,,,1.0,,,60.0,15.6,,42.5
870,934,ASUS,Ryzen 5,AMD,5.0,x86,6.0,19.0,8.0,,1000.0,AMD,,,1.0,,,70.0,14.0,,27.999
871,938,,Core i7,Intel,12.0,x86,14.0,24.0,16.0,,512.0,,,,,6.0,,,16.1,,51.5
872,940,,Core i9-Tiger Lake,Intel,11.0,x86,8.0,32.0,32.0,,1000.0,,6.0,,,,,57.0,15.6,,84.695
873,941,,,,,8550u  Core i7,,8.0,8.0,,1000.0,NVIDIA,2.0,,,5.0,,43.0,14.0,,28.5
874,942,Apple,M2,Apple,,M2,12.0,12.0,16.0,,512.0,Apple,0.0,,1.0,15.0,,99.6,16.2,,129.59
875,943,Portege X20W-D,Core i7,Intel,7.0,x86,,,8.0,,256.0,intel,,,,,,,12.0,,13.5
