,0
517,درگاه USB 2.0
518,قابلیت جدا شدن باتری
519,پشتیبانی از تاندربولت
520,باتری قابل تعویض
521,تعداد پورت USB 3
522,شبکه وایرلس Wi-Fi / ورژن
523,جک هدفون/میکروفن
524,مناسب کاربری صنعتی و تجاری
525,وب‌کم
526,درگاه کارت‌خوان
527,نوع باتری / قابل تعویض توسط کاربر
528,وضوح و نوع صفحه نمایش
529,فرکانس پردازنده (بر حسب گیگاهرتز )
530,Display Resolution Maximum
531,Memory Speed
532,Hard Drive Interface
533,Rear Webcam Resolution
534,Operating System
535,Number of USB 3.0 Ports
536,Wireless Type
537,Hard Drive
538,Card Description
539,Max Screen Resolution
540,Screen Resolution
541,Item Weight
542,Item Dimensions LxWxH
543,ASIN
544,Customer Reviews
545,Date First Available
546,Best Sellers Rank
547,Batteries
548,Color
549,Item model number
550,Power Source
551,Hardware Platform
552,Series
553,Standing screen display size
554,Product Dimensions
555,سایر امکانات
556,نوع کاربري
557,جک هدفون/ میکروفون
558,صفحه نمایش
559,رفرش ریت (نرخ تازه سازی)
560,شبکه وایرلس
561,جک 3.5 میلی متری
562,سایر اتصالات
563,وزن (گرم)
564,ابعاد (میلی‌متر)
565,نامپد
566,کلاس کاربری
567,Wifi
568,USB Type-C
569,Lan
570,Memory Card Reader
571,جک هندزفری
572,سایر توضیحات صفحه نمایش
573,پشتیبانی از sRGB
574,رنگبندی
575,مزایا
576,پورت USB (mini)
577,سنسور تشخیص چهره
578,condition
579,نوع دستگاه
580,نرخ به‌روزرسانی
581,پورت DVI
582,گرید و وضعیت
583,فیزیکی.ابعاد
584,جنس
585,نوع نمایشگر
586,رزولوشن تصویر
587,پورت AUX
588,درگاه شارژر سرفیس
589,درگاه USB 3.0
590,اتصال Bluetooth
591,wifi
592,پورت type-c
593,سری محصول
594,توضیحات پورت شبکه Ethernet
595,تعداد درگاه USB 3.2
596,کد
597,اسکرین پد
598,پورت 1394
599,پورت ESATA/USB 2.0 COMBO
600,پورت مودم
601,پورت میکروفن
602,پورت هدفون
603,وزن تقریبی
604,شناسه کالا
605,سرعت تصویر
606,قابلیت نصب کارت حافظه
607,نوع کارت حافظه قابل نصب
608,تعداد پورت USB-C Support DP
609,گارانتی
610,قابلیت های دستگاه
611,دقت / رزولوشن
612,تعداد پورت USB-C
613,Mini Display Port
614,پورت تاندربولت
615,پورت Thunderbolt 3
616,درگاه انتقال صدا
617,سایر درگاه ها
618,پورت Mini HDMI
619,پورت Thunderbolt 4
620,پورت شبکه اترنت
621,پورت Thunderbolt USB 4
622,تعداد پورت
623,قابلیت شارژ سریع
624,مدل شارژر
625,نورپردازی بدنه
626,شارژدهی
627,شارژر
628,رنگ بدنه
629,طبقه کاربری
630,وزن لپ ‌تاپ
631,رزولیشن صفحه نمایش
632,پورت Ethernet
633,پورت USB2.0
634,پورت USB3.2
635,DisplayPort
636,پورت D-Sub
637,جک 3.5 میلی‌متری
638,حداکثر وضوح تصویر
639,کیفیت صفحه نمایش
640,نرخ به روزرسانی تصویر
641,زمان پاسخگویی صفحه نمایش
642,طیف رنگی
643,تکنولوژی‌های صفحه نمایش
644,فرکانس پردازنده گرافیکی
645,توان حرارتی پردازنده گرافیکی
646,پشتیبانی از سیستم عامل
647,فرکانس هسته‌های Performance
648,فرکانس هسته‌های Efficient
649,تعداد رشته‌های Efficient
650,محدوده فرکانس پردازنده
651,تعداد رشته‌های Performance
652,فرکانس Turbo پردازنده
653,فرکانس رم
654,نرخ بازسازی تصویر
655,توضیحات شبکه بی سیم WiFi
656,تعداد پورت Type-c
657,نوع کاربرد
658,سایر مشخصات.سیستم عامل
659,پشتیبانی از VR
660,نقاط قوت
661,امکانات.کارت خوان
662,امکانات.شبکه بی سیم Wi-Fi
663,امکانات.بلوتوث
664,امکانات.پورت VGA
665,امکانات.پورت HDMI
666,امکانات.پورت USB Type-C
667,سایر مشخصات.حجم باتری
668,صفحه نمایش.نوع صفحه نمایش
669,صفحه نمایش.دقت صفحه نمایش
670,صفحه نمایش.صفحه نمایش مات
671,صفحه نمایش.صفحه نمایش لمسی
672,امکانات.درایو نوری
673,امکانات.وبکم
674,امکانات.مشخصات اسپیکر
675,نوع سفارش
676,زمان ارسال کالا
677,درگاه Sd
678,مشخصات کلی.وزن
679,مشخصات کلی.ابعاد
680,مشخصات دیگر
681,میزان دور در دقیقه
682,سوئیچ MUX
683,وضوح صفحه نمایش
684,روشنایی صفحه نمایش
685,پوشش رنگ
686,تکنولوژی های صفحه نمایش
687,تعداد پورت دیگر
688,جک 3.5 میلیمتری صدا
689,قطب نما
690,ژیروسکوپ
691,دوربین اصلی
692,شارژ سریع
693,شبکه بي سيم
694,دوربين
695,حداکثر رزولوشن عکس
696,نوع باتري
697,سيستم عامل
698,تراکم پیکسل
699,اسلات سیم کارت
700,شتاب سنج
701,حسگر نور محیط
702,DCI-P3
703,مشخصات شارژر
704,دوربین سلفی
705,بلندگو
706,تکنولوژی هارد
707,پشتیبانی از کارت حافظه
708,نرخ تجدید
709,سایر مشخصات صفحه نمایش
710,وایرلس
711,هدفون
712,تکنولوژی رم
713,درگاه Thunderbolt
714,قابلیت ارتقا حافظه
715,سایر ویژگی های درگاه
716,درگاه کارت حافظه
717,دیگر ویژگی های وبکم
718,مدت زمان مورد نیاز برای شارژ باتری
719,تعداد اجزا
720,توان R.M.S
721,پورت USB 3.0 Gen1 Type-A
722,پورت USB 2.0 Gen1 Type-A
723,پورت Type-C
724,نسخه سیستم عامل
725,محتویات داخل جعبه
726,تراکم پیکسل صفحه نمایش
727,درگاه‌ USB-A
728,درگاه‌ USB-C
729,درگاه‌ Lightening
730,درگاه AUX
731,درگاه Ethernet
732,اتصالات بی سیم
733,سنسورهای امنیتی
734,سنسورهای موقعیت یابی
735,نوع اتصال
736,Mini HDMI
737,مقدار DCI-P3
738,گواهی‌ های نمایشگر
739,G-Sync
740,سرعت حافظه RAM
741,قابلیت اتصال کارت حافظه
742,قابلیت ارتقاء حافظه RAM
743,قابلیت ارتقاء حافظه داخلی
744,رفرش ریت
745,پورت USB 3.2 Gen1 Type-A
746,پورت RJ45 Ethernet
747,مدل گرافیک مجزا
748,حافظه گرافیک مجزا
749,سایر قابلیت‌های صفحه نمایش
750,سایر قابلیت‌های وبکم
751,درگاه USB-2
752,ظرفیت Optane
753,Optimus
754,شبکه WiFi
755,تعداد پورت USB 3.2
756,فرکانس
757,رده صفحه نمایش
758,محدوده زمان پاسخگویی
759,پشتیبانی از DCI-P3
760,بازه فرکانس پردازنده
761,وب کم
762,لوازم همراه دستگاه
763,شرکت سازنده
764,قابلیت ارتقاء HDD
765,قابلیت نصب HDD
766,توان گرافیکی
767,سرعت انتقال اطلاعات
768,اتصالات.تعداد پورت USB2.0
769,اتصالات.تعداد پورت USB3 3.2 Gen1
770,تعداد پورت USB3 Type-C
771,مشخصات پورت USB3 Type-C
772,اتصال Wi-Fi
773,اتصال بلوتوث
774,اتصالات.جک 3.5 میلیمتری
775,تکنولوژی صفحه نمایش
776,فرمت صفحه نمایش
777,رزولوشن صفحه نمایش
778,میزان روشنایی
779,سایر قابلیت ها
780,سایر قابلیت های صفحه نمایش
781,جک 3.5 میلمتری صدا
782,ارتباطات بیسیم
783,درگاه ارتباطی
784,تعداد پورت USB Type C
785,کیفیت فیلمبرداری
786,سایر قابلیت های وبکم
787,کیبورد فارسی
788,نوع
789,مناسب برای
790,کانفیگ اصلی
791,Bluetooth
792,Thunderbolt
793,اسلات ارتقاء SSD
794,نور پس زمینه
795,زاویه بازگشایی
796,سال تولید
797,ویژگی های خاص
798,سایر قابلیت های بدنه
799,نرخ بروزرسانی تصویر
800,وای فای (WIFI)
801,بلوتوث (Bluetooth)
802,پورت USB 2.0
803,پورت USB 3.0
804,پورت USB 3.2
805,تاندربولت Thunderbolt
806,زبان حک شده بر روی صفحه کلید (کیبورد)
807,امکان چرخش ۳۶۰ درجه
808,ابعاد (میلی متر)
809,باس حافظه رم
810,بدنه
811,مناسب کاربری دانشجویی
812,مناسب کاربری مالتی مدیا و خانگی
813,تعداد درگاه USB Type-A 4.0
814,درگاه DVI
815,مناسب کاربری گیمینگ
816,کشور سازنده
817,پورت Mini Display
818,تعداد پورت USB Type-C
819,تعداد پورت USB 3.1
820,پورت FireWire 800
821,تعداد ترانزیستور
822,قابلیت ارتقا رم تا
823,ورژن شبکه Wi-Fi (وایرلس)
824,توضیحات بلوتوث
825,پشتیبانی از Thunderbolt
826,درگاه VGA
827,مناسب کاربری حرفه ای
828,توضیحات درگاه USB Type C
829,درگاه کارت‌ خوان
830,توضیحات وب کم
831,بسته‌ها
832,رده کاربری
833,مدل گرافیک یکپارچه
834,نوع پنل صفحه نمایش
835,نرخ نوسازی تصویر
836,سطح صفحه نمایش
837,توضیحات تکمیلی
838,تعداد پورت USB 2.0
839,تعداد پورت USB 3.0
840,پورت ThunderBolt
841,پورت شبکه
842,پورت هدفن
843,پهنای باند BUS
844,هسته Performance (عملکرد بالا)
845,هسته Efficient (کم مصرف)
846,هسته مجازی(تِرِد)
847,حروف حک شده کیبورد
848,سیستم عامل نصب شده
849,سایر مشخصات
850,گواهی های نمایشگر
851,زمان پاسخگویی
852,Keystone
853,قابلیت ارتقاء SSD
854,برند
855,فرکانس صفحه نمایش
856,تراکم پیکسلی
857,رزولوشن نمایش
858,فرکانس پردازنده در حالت توربو
859,فرکانس (باس) رم
860,wi-fi
861,مشخصات شبکه بی سیم Wi-Fi
862,پورت USB 3.1
863,پورت USB-C
864,نسخه بلوتوث
865,پورت صدا
866,DVD-RW
867,پورت اتصال کیبورد سرفیس
868,رزولوشن دوربین جلو
869,کشورسازنده
870,ساختار و جنس بدنه
871,نور پردازی بدنه
872,ماکس سوئیچ
873,جک 3.5mm
874,درگاه SD Card
875,جنس باتری
876,صفحه کلید اعداد
877,وزن (kg)
878,شبکه بیسیم WiFi
879,پورت USB3
880,پورت USB2
881,پورت Display
882,قابلیت جداسازی باتری
883,طبقه بندی
884,اقلام همراه دستگاه
885,فرکانس پردازنده
886,قابلیت ارتقای رم
887,نوع و باس رم
888,حافظه رم (Ram)
889,قابلیت ارتقا رم
890,فرکانس حافظه رم
891,کارت‌خوان
892,سایر توضیحات
893,شبکه بی‌سیم WiFi
894,شبکه اترنت (Ethernet)
895,درگاه USB-3
896,درگاه USB-C
897,توضیحات درگاه USB
898,جک 3.5 میلی‌متری صدا
899,توضیحات تکمیلی صدا
900,سایر قابلیت‌های باتری
901,سرعت
902,سایر قابلیت‌های بدنه
903,شدت روشنایی
904,نسبت ابعاد صفحه نمایش
905,پوشش سطح صفحه نمایش
906,نرخ تازه سازی تصویر
907,سایر مشخصات مهم
908,نوع باتری/ قابل تعویض توسط کاربر
909,توان شارژر
910,نوع کاربری
911,رنگ بندی
912,ویژگی‌های خاص
913,تاچ پد
914,شبکه Wi-Fi
915,درگاه شبکه LAN
916,تعداد درگاه USB 3.0 Type A و بالاتر
917,تعداد درگاه USB 2.0 Type A
918,تعداد درگاه USB Type C
919,جک هدفون/ میکروفن
920,درگاه HDMI
921,اسپیکر
922,وب‌ کم
923,قابلیت ارتقا
924,تعداد رشته (Thread)
925,فناوری ساخت
926,نور پس‌ زمینه LED
927,میزان روشنایی صفحه نمایش
928,پوشش نمایشگر
929,توضیحات سیستم عامل
930,امکانات دیگر
931,اقلام همراه لپ تاپ
932,فیلتر برند
933,فیلتر پردازنده
934,فیلتر رم
935,فیلتر حافظه داخلی
936,فیلتر کارت گرافیک
937,فیلتر صفحه نمایش
938,مشخصات تاچ پد
939,کارت خوان
940,مودم
941,شبکه بی سیم Wi-Fi
942,توضیحات شبکه بی سیم Wi-Fi
943,پورت شبکه Ethernet
944,پورت VGA
945,پورت HDMI
946,پورت USB Type-C
947,پورت Thunderbolt
948,توضیحات پورت Thunderbolt
949,پورت Serial
950,پورت USB 4.0
951,تعداد پورت USB 4.0
952,طبقه‌بندی
953,نوع صفحه نمایش
954,دقت صفحه نمایش
955,توضیحات صفحه نمایش
956,توضیحات وبکم
957,مشخصات اسپیکر
958,ابعاد
959,سازنده پردازنده
960,محدوده سرعت پردازنده
961,صفحه اعداد
962,بلندگو داخلی
963,قدرت بلندگو
964,فناوری‌
965,نوع وبکم
966,نوع باتری
967,فناوری باتری
968,اسلات ارتقاء HDD
969,داریو نوری
970,کارت حافظه‌خوان
971,Wi-Fi
972,USB2.0
973,USB3.0
974,USB3.1
975,USB3.2
976,USB-C
977,Mini-Display
978,جک هدفون
979,قابلیت افزایش توان
980,نوع پنل
981,نرخ نوسازی
982,قابلیت لمس
983,ضد انعکاس نور
984,سایر ویژگی‌ها
985,سرعت حافظه رم
986,قابلیت ارتقاء
987,گرافیک یکپارچه/آن‌بُرد
988,فرکانس آورکلاک
989,تعداد اسپیکر
990,نوع اسپیکر
991,تعداد فن
992,محتویات جعبه
993,نوع کالا
994,برند کالا
995,سری کالا
996,مدل کالا
997,رنگ
998,توان گرافیک
999,توان افزایشی
1000,DirectX
1001,PCIe
1002,نوع نمایش تصویر
1003,نسبت تصویر
1004,Adobe RGB
1005,sRGB
1006,Type-C
1007,USB 3.2
1008,جنس باطری
1009,میزان شارژ دهی
1010,توان آداپتور
1011,تعداد اسلات رم
1012,مصرف برق پردازنده
1013,فناوری ساخت پردازنده
1014,سیستم عامل
1015,وبکم
1016,تاچ پد چند لمسی
1017,اقلام همراه
1018,سخت افزار
1019,ابعاد (طول × عرض × ارتفاع)
1020,وزن
1021,کاربری
1022,کشور برند
1023,جنس بدنه
1024,قابلیت جدا شدن باطری
1025,درایو نوری
1026,بلوتوث
1027,WiFi
1028,Type C
1029,USB 3.0
1030,USB 2.0
1031,Display Port
1032,HDMI
1033,VGA
1034,جک 3.5 میلیمتری
1035,LAN
1036,درگاه حافظه
1037,نرخ تصویر
1038,سایز صفحه نمایش (اینچ)
1039,پنل تصویر
1040,وضوح تصویر
1041,رزولوشن
1042,نوع رم
1043,باس رم
1044,فرکانس پایه
1045,فرکانس افزایشی
1046,وزن (کیلوگرم)
1047,ابعاد (میلیمتر)
1048,Unnamed: 0.3
1049,Unnamed: 0.2
1050,Unnamed: 0.1
1051,Unnamed: 0
1052,
